Dates,Long,Short,LongShort
1990-01-31,0.0,0.0,0.0
1990-02-28,0.081740835,0.0220836098,0.0519122224
1990-03-30,0.04751187329999999,0.05872010489999999,0.0531159891
1990-04-30,0.03708080150000001,0.019625273800000002,0.028353037650000006
1990-05-31,0.08984183959999999,-0.07714573190000001,0.006348053849999986
1990-06-29,0.022360039899999996,0.0509828802,0.03667146004999999
1990-07-31,0.004911353100000005,0.11047671760000001,0.057694035350000006
1990-08-31,-0.07512041300000001,0.138426992,0.031653289499999994
1990-09-28,-0.05629300770000001,0.2240756267,0.0838913095
1990-10-31,0.0454473139,0.09012809220000001,0.06778770305000001
1990-11-30,0.1690064205,-0.0918644716,0.03857097445
1990-12-31,0.07754693780000001,-0.025731787000000006,0.0259075754
1991-02-28,0.2303506727,-0.1338707917,0.04823994050000001
1991-02-28,0.0127781173,-0.004091558399999999,0.004343279450000001
1991-03-29,0.09526612140000001,-0.001865754199999999,0.04670018360000001
1991-04-30,0.0215525785,0.0353731688,0.028462873649999998
1991-05-31,0.0691765812,0.0141373624,0.041656971800000005
1991-06-28,-0.015775446600000003,0.08240555320000001,0.0333150533
1991-07-31,0.08526144640000001,-0.029557241999999997,0.027852102200000006
1991-08-30,0.042285807800000005,0.00041413049999999927,0.021349969150000002
1991-09-30,0.0166312373,0.013087966700000002,0.014859602000000001
1991-10-31,0.0698615681,0.0070637601000000045,0.0384626641
1991-11-29,-0.025471744699999993,0.09335588360000001,0.03394206945000001
1991-12-27,0.2020810918,-0.050063673200000006,0.0760087093
1992-02-28,0.033540183300000005,-0.0386449867,-0.0025524016999999982
1992-03-27,-0.0035396928000000004,0.0542990094,0.0253796583
1992-04-30,0.024846470500000002,0.023912156299999997,0.024379313399999998
1992-04-30,-0.0142470133,0.0028902667,-0.0056783733
1992-05-29,0.030462152699999995,0.0193281971,0.024895174899999997
1992-06-30,-0.021983135600000002,-0.0036936191999999996,-0.0128383774
1992-07-31,0.0521231597,0.0358922361,0.044007697900000003
1992-08-31,-0.0596805217,0.026005412999999998,-0.016837554350000002
1992-09-25,0.010294811399999996,0.014885983700000004,0.01259039755
1992-10-30,0.11656217460000003,-0.027318216500000006,0.04462197905000001
1992-11-30,0.15376347010000002,-0.029267851100000006,0.06224780950000001
1992-12-31,0.0386312183,0.07339528070000001,0.0560132495
1993-02-26,0.0843019904,0.0055318335000000066,0.04491691195
1993-03-26,0.0916274657,0.0095652672,0.05059636645
1993-04-30,0.0231220362,0.1101274321,0.06662473415
1993-05-31,0.0612314086,-0.04375973140000001,0.008735838599999997
1993-06-25,0.014584370900000001,0.0075379359,0.0110611534
1993-06-25,0.0114490384,0.0190353737,0.01524220605
1993-07-30,0.0138081614,0.1813613343,0.09758474785
1993-08-31,0.10095398950000002,-0.044227106,0.02836344175000001
1993-09-24,0.030143019700000002,0.032079125900000005,0.031111072800000004
1993-10-29,0.0628465217,-0.005670280199999999,0.02858812075
1993-11-30,0.005529164600000001,0.0707648049,0.03814698475
1993-12-31,0.049367931000000004,0.019641440200000002,0.0345046856
1994-02-28,0.0036827150000000065,0.018113747299999997,0.010898231150000002
1994-03-31,-0.022156229200000002,0.0705884814,0.0242161261
1994-04-29,0.007965810199999998,0.038319521499999995,0.023142665849999997
1994-05-31,0.0270081323,0.0349535443,0.0309808383
1994-06-30,-0.015836644700000006,0.061868097399999995,0.023015726349999995
1994-07-01,0.0122840318,-0.049463620400000005,-0.018589794300000004
1994-08-31,0.0063671249,0.006193929900000001,0.0062805274
1994-08-31,0.0368687314,-0.0036077295000000002,0.01663050095
1994-09-30,0.008757578599999993,0.05058470620000001,0.029671142400000003
1994-10-31,0.0022305169999999926,0.0020273630000000003,0.0021289399999999967
1994-11-30,0.038056082500000005,0.0248562324,0.03145615745
1994-12-30,-0.007295543900000006,0.0452954179,0.018999936999999998
1995-02-28,0.11705170270000001,-0.011040666700000002,0.053005518
1995-03-31,0.032292160300000004,-0.0341652511,-0.0009365453999999988
1995-04-28,0.0315380607,0.0582884761,0.0449132684
1995-05-31,0.1127017505,-0.007197502699999999,0.0527521239
1995-06-30,0.07486654890000001,-0.014289272000000004,0.030288638450000002
1995-07-31,0.1057705437,-0.0358335548,0.03496849445
1995-08-31,0.12835871910000002,0.018929470599999998,0.07364409485000001
1995-09-29,0.05198225930000001,-0.010135952899999998,0.020923153200000003
1995-10-31,0.12308139130000001,0.009549537900000002,0.06631546460000001
1995-11-30,0.0749755331,-0.0001600750999999998,0.037407729
1995-12-29,0.0551509668,-0.024901724799999997,0.015124621000000001
1996-02-29,-0.050242587199999994,0.004430705500000002,-0.022905940849999997
1996-03-29,0.0846183474,0.0381465724,0.061382459900000005
1996-04-30,0.10234330680000002,0.027652909200000006,0.06499810800000001
1996-05-31,0.034347779,-0.013029006,0.010659386500000001
1996-06-28,-0.008639418000000003,-0.0162201066,-0.012429762300000001
1996-07-31,-0.0836661899,0.10791273339999999,0.012123271749999998
1996-08-30,0.11660354110000003,-0.012360301500000002,0.05212161980000001
1996-09-27,0.0876719634,-0.029148924200000002,0.029261519599999997
1996-10-31,0.031622939899999994,0.052199282699999995,0.0419111113
1996-11-29,0.0704702866,-0.0327875903,0.01884134815
1996-11-29,0.012996038500000001,-0.0016714378000000003,0.005662300350000001
1996-12-27,0.0018663480999999982,0.0474116983,0.0246390232
1997-02-28,0.06175203210000001,-0.1186533406,-0.02845065425
1997-03-28,-0.019110390900000003,0.0664966908,0.023693149949999995
1997-04-30,0.016368598900000007,0.0035306125000000013,0.009949605700000004
